File,Key,English (needs Welsh)
"accessCode.json","errors.respondToClaimUnavailable","The option to respond to a claim is not available at the moment."
"claimList.json","pageTitle","Your Possession Claims account"
"claimList.json","heading","Your Possession Claims account"
"claimList.json","accessYourCase","If a claim you want to view is not listed below, you must first <a href=""/access-your-case"" class=""govuk-link"" target=""_blank"" rel=""noreferrer noopener"">provide some details to access it (opens in new tab)</a>."
"claimList.json","claimsMadeAgainstYou","Claims made against you"
"claimList.json","table.claimNumber","Claim number"
"claimList.json","table.claimantsName","Claimant’s name"
"claimList.json","table.propertyPostcode","Property postcode"
"claimList.json","table.actions","Actions"
"claimList.json","table.viewClaim","View claim"
"claimList.json","noClaimsFound","There are no claims against you."
"common.json","errors.documentUpload.fileTooLargeDocStore","File you have uploaded is too big. Document files must be less than {{maxSize}}."
"common.json","errors.documentUpload.fileTooLargeMedia","File you have uploaded is too big. Image files must be smaller than {{maxSize}}."
"common.json","errors.documentUpload.fileTotalTooLargeDocStore","The selected files must be smaller than {{maxSize}}. Delete one or more files or reduce the file sizes."
"common.json","errors.documentUpload.filenameTooLong","The file name must be {{maxLength}} characters or fewer"
"common.json","errors.documentUpload.uploadFailed","The selected file could not be uploaded – try again"
"common.json","errorPages.pageNotFound.paragraph8","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"common.json","errorPages.serviceUnavailable.paragraph7","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"common.json","errorPages.technicalError.paragraph8","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"common.json","errorPages.accessDenied.paragraph6","<a class=""govuk-link"" href=""https://www.gov.uk/call-charges"" target=""_blank"" rel=""noopener noreferrer"">Find out about call charges (opens in new tab)</a>."
"makeAnApplication/applicationSubmitted.json","paymentBeingProcessed","Payment being processed"
"makeAnApplication/applicationSubmitted.json","adjournRequestReceived","We have received your request to adjourn (delay) the court hearing."
"makeAnApplication/applicationSubmitted.json","setAsideRequestReceived","We have received your request to set aside (cancel) the order."
"makeAnApplication/applicationSubmitted.json","somethingElseRequestReceived","We have received your request to ask the court to make an order."
"makeAnApplication/applicationSubmitted.json","youDoNotNeedToDoAnythingElse","You do not need to do anything else. We will send your application to the judge and we will contact you again when they have made a decision."
"makeAnApplication/applicationSubmitted.json","giveFeedbackAboutThisService","Give feedback about this service"
"makeAnApplication/payForYourApplication.json","pageTitle","Pay for your application"
"makeAnApplication/payForYourApplication.json","heading","Pay for your application"
"makeAnApplication/payForYourApplication.json","applicationFee","Application fee:"
